run,candidate,sample,changing_total_ms,changing_build_ms,complete_total_ms,clamp_ms,show_ms,corners_ms,border_ms
3,1,7,0.65269999999999995,0.60250000000000004,2.259000,0.067800,2.012200,0.023100,0.155900
3,1,8,0.57210000000000005,0.52090000000000003,1.485000,0.066500,1.262700,0.016100,0.139700
3,1,9,0.84150000000000003,0.79190000000000005,1.121000,0.061900,0.911400,0.013700,0.134000
3,1,10,0.58730000000000004,0.53080000000000005,2.189500,0.080100,1.929900,0.017700,0.161800
3,1,11,0.58479999999999999,0.52690000000000003,1.393100,0.065100,1.104400,0.017800,0.205800
3,1,12,1.3075000000000001,0.9849,2.100400,0.068200,1.864000,0.017600,0.150600
3,1,13,0.92879999999999996,0.83489999999999998,1.207600,0.063900,0.873300,0.014200,0.256200
3,1,14,0.95879999999999999,0.78000000000000003,3.251500,0.110900,2.963600,0.019300,0.157700
3,1,15,0.66679999999999995,0.60840000000000005,0.999100,0.060400,0.796000,0.013100,0.129600
3,1,16,0.68669999999999998,0.62660000000000005,2.556100,0.903900,1.492000,0.017300,0.142900
3,1,17,0.67220000000000002,0.60860000000000003,1.335500,0.066900,1.068300,0.018000,0.182300
3,1,18,0.97789999999999999,0.80020000000000002,1.275900,0.078400,1.022400,0.024800,0.150300
3,1,19,6.0045999999999999,2.5752999999999999,6.267700,0.078200,6.031000,0.018000,0.140500
3,1,20,1.0043,0.94769999999999999,6.222400,0.063000,6.002800,0.017600,0.139000
3,1,21,3.1858,3.1118000000000001,1.178300,0.060800,0.973400,0.014300,0.129800
3,1,22,4.0763999999999996,4.0021000000000004,1.448900,0.061500,1.234000,0.016500,0.136900
3,1,23,4.2003000000000004,4.1193999999999997,2.647500,0.076700,2.388900,0.018600,0.163300
3,1,24,4.3426999999999998,4.2606999999999999,1.544000,0.071900,1.294600,0.022700,0.154800
3,1,25,9.2021999999999995,9.1172000000000004,1.836400,0.075100,1.531500,0.072000,0.157800
3,1,26,5.8030999999999997,5.7290000000000001,2.118000,0.089800,1.862400,0.019400,0.146400
3,1,27,0.71519999999999995,0.66279999999999994,1.439900,0.073200,1.190100,0.018900,0.157700
3,1,28,0.55710000000000004,0.50790000000000002,2.308000,0.070300,2.006100,0.019400,0.212200
3,1,29,4.2531999999999996,4.1698000000000004,1.184700,0.065300,0.956700,0.023000,0.139700
3,1,30,1.1658999999999999,1.1027,1.396600,0.061100,1.186400,0.015300,0.133800
3,1,31,0.74839999999999995,0.70150000000000001,5.890400,0.058800,5.664100,0.018000,0.149500
3,1,32,12.481,12.398400000000001,1.403100,0.067200,1.184700,0.015800,0.135400
3,1,33,11.133699999999999,11.0512,1.811600,0.078100,1.530000,0.017700,0.185800
