run,sample,total_ms,clamp_ms,show_ms,corners_ms,border_ms,prepare_ms,move_ms,outer_show_ms
prefix,35,0.928,0.0608,0.6944,0.0105,0.1623,0.0112,0.666,0.0172
prefix,36,0.8025,0.0491,0.6129,0.0074,0.1331,0.0106,0.5878,0.0145
prefix,37,1.8975,0.0691,1.0654,0.0117,0.7513,0.0119,1.0302,0.0233
prefix,38,2.4495,0.0592,2.1456,0.0142,0.2305,0.0116,2.1089,0.0251
prefix,39,1.1322,0.0643,0.8737,0.0116,0.1826,0.0121,0.8425,0.0191
prefix,40,1.3519,0.0649,1.0921,0.013,0.1819,0.0131,1.0575,0.0215
prefix,41,2.3546,0.0648,2.0908,0.0136,0.1854,0.0133,2.0532,0.0243
prefix,42,1.991,0.0649,1.2525,0.0149,0.6587,0.0128,1.2101,0.0296
prefix,43,1.7339,0.0725,1.3911,0.0146,0.2557,0.0125,1.3502,0.0284
prefix,44,1.0746,0.0632,0.8069,0.0097,0.1948,0.0123,0.7747,0.0199
prefix,45,3.6706,0.0954,3.3137,0.0133,0.2482,0.0137,3.2725,0.0275
prefix,46,1.8678,0.0674,1.5815,0.0144,0.2045,0.0132,1.5431,0.0252
prefix,47,1.1803,0.0629,0.9409,0.0105,0.166,0.0119,0.9087,0.0203
prefix,48,1.2323,0.0682,0.9397,0.0107,0.2137,0.0123,0.9074,0.02
prefix,49,1.7146,0.0555,1.4423,0.014,0.2028,0.0095,1.4107,0.0221
prefix,50,1.2237,0.0691,0.9313,0.0128,0.2105,0.0114,0.8972,0.0227
prefix,51,1.6071,0.0483,1.2741,0.0111,0.2736,0.0096,1.243,0.0215
prefix,52,1.3202,0.0706,1.1096,0.0099,0.1301,0.0135,1.0754,0.0207
prefix,53,1.4369,0.07,1.156,0.014,0.1969,0.0143,1.1164,0.0253
prefix,54,1.5666,0.2925,1.0833,0.0128,0.178,0.0108,1.0474,0.0251
prefix,55,1.8395,0.0681,1.5705,0.0127,0.1882,0.0128,1.5283,0.0294
prefix,56,1.3576,0.0657,1.0905,0.014,0.1874,0.012,1.0518,0.0267
prefix,57,0.8069,0.0499,0.61,0.0115,0.1355,0.01,0.5838,0.0162
prefix,58,1.0857,0.0652,0.8406,0.0101,0.1698,0.0116,0.8096,0.0194
prefix,59,1.5241,0.062,0.9887,0.0115,0.4619,0.0125,0.9547,0.0215
prefix,60,1.2234,0.0958,0.8922,0.013,0.2224,0.0123,0.8571,0.0228
prefix,61,1.028,0.064,0.776,0.0111,0.1769,0.0128,0.7408,0.0224
prefix,62,1.4035,0.0642,1.1192,0.0138,0.2063,0.0123,1.0838,0.0231
prefix,63,2.0141,0.0639,1.6896,0.0128,0.2478,0.013,1.6551,0.0215
prefix,64,1.2052,0.0639,0.9577,0.012,0.1716,0.0116,0.9233,0.0228
prefix,65,1.4473,0.0469,1.2225,0.0118,0.1661,0.0091,1.1922,0.0212
prefix,66,1.5434,0.1234,1.0205,0.0158,0.3837,0.0136,0.9749,0.032
prefix,67,3.5143,0.0665,3.1597,0.0164,0.2717,0.0128,3.1167,0.0302
prefix,68,1.167,0.0688,0.9125,0.0121,0.1736,0.0139,0.876,0.0226
prefix,69,1.2847,0.0677,1.0195,0.013,0.1845,0.0127,0.9835,0.0233
prefix,70,1.3229,0.0643,1.0572,0.0119,0.1895,0.0126,1.0222,0.0224
prefix,71,1.8258,0.1768,1.4763,0.0118,0.1609,0.0156,1.4371,0.0236
prefix,72,1.9598,0.0677,1.7265,0.0115,0.1541,0.0122,1.6892,0.0251
prefix,73,2.9911,0.0648,2.7642,0.0111,0.151,0.0124,2.7311,0.0207
prefix,74,1.2349,0.0502,0.9802,0.0131,0.1914,0.01,0.9493,0.0209
prefix,75,1.3645,0.0658,1.0976,0.0123,0.1888,0.011,1.0601,0.0265
prefix,76,1.0491,0.0511,0.8257,0.0189,0.1534,0.0098,0.7972,0.0187
prefix,77,2.2582,0.0557,1.6995,0.0145,0.4885,0.0109,1.6606,0.028
prefix,78,1.322,0.0615,1.079,0.0126,0.1689,0.0114,1.0461,0.0215
prefix,79,0.8979,0.0507,0.6806,0.0102,0.1564,0.0103,0.6537,0.0166
prefix,80,2.6507,0.0647,2.4244,0.0117,0.1499,0.0142,2.3874,0.0228
prefix,81,2.0913,0.0642,1.8035,0.0151,0.2085,0.0126,1.7664,0.0245
prefix,82,1.9822,0.1993,1.47,0.0158,0.2971,0.0153,1.4259,0.0288
prefix,83,1.3179,0.0649,0.9304,0.0102,0.3124,0.0124,0.8997,0.0183
prefix,84,1.5734,0.0552,1.3592,0.0109,0.1481,0.01,1.3274,0.0218
prefix,85,0.9278,0.0514,0.7143,0.0096,0.1525,0.0105,0.6879,0.0159
prefix,86,1.4186,0.0742,1.0955,0.0127,0.2362,0.0148,1.0543,0.0264
prefix,87,1.1674,0.066,0.9309,0.0104,0.1601,0.0113,0.9003,0.0193
prefix,88,1.8582,0.0825,1.5392,0.0141,0.2224,0.0132,1.4977,0.0283
prefix,89,1.9873,0.0584,1.7656,0.0115,0.1518,0.0101,1.7357,0.0198
prefix,90,1.7561,0.0479,0.8204,0.0099,0.8779,0.0088,0.7936,0.018
prefix,91,1.4562,0.0687,1.2344,0.0107,0.1424,0.0232,1.1899,0.0213
prefix,92,1.17,0.0517,0.9322,0.0114,0.1747,0.0103,0.9036,0.0183
prefix,93,0.9701,0.0731,0.7641,0.0083,0.1246,0.0135,0.7337,0.0169
prefix,94,1.999,0.0593,1.7063,0.014,0.2194,0.0124,1.6656,0.0283
prefix,95,2.7586,0.0834,2.5068,0.0122,0.1562,0.0147,2.4686,0.0235
prefix,96,1.6552,0.0997,1.3819,0.0117,0.1619,0.0563,1.3006,0.025
prefix,97,2.2719,0.0621,1.9749,0.0122,0.2227,0.0119,1.939,0.024
prefix,98,1.0502,0.0637,0.8172,0.0101,0.1592,0.012,0.787,0.0182
prefix,99,1.9096,0.1609,1.5432,0.0132,0.1923,0.0125,1.5056,0.0251
prefix,100,1.6601,0.0776,1.3735,0.0132,0.1958,0.0161,1.3309,0.0265

