run,enabled,index,total_ms,clamp_ms,show_ms,corners_ms,border_ms,total_cycles,total_kernel_ms,total_user_ms,show_cycles,show_kernel_ms,show_user_ms
1,0,69,3.979000,0.424400,3.230100,0.031100,0.293400,0,0.0,0.0,0,0.0,0.0
1,0,70,2.036300,0.078600,1.292800,0.020500,0.644400,0,0.0,0.0,0,0.0,0.0
1,0,71,1.687400,0.082600,1.383000,0.023100,0.198700,0,0.0,0.0,0,0.0,0.0
1,0,72,2.876900,0.063000,2.567900,0.020600,0.225400,0,0.0,0.0,0,0.0,0.0
1,0,73,1.401400,0.071600,1.096000,0.019100,0.214700,0,0.0,0.0,0,0.0,0.0
1,0,74,1.903300,0.085100,1.573500,0.020100,0.224600,0,0.0,0.0,0,0.0,0.0
1,0,75,5.279100,0.783900,4.211600,0.021300,0.262300,0,0.0,0.0,0,0.0,0.0
1,0,76,3.260900,0.423400,1.980100,0.020100,0.837300,0,0.0,0.0,0,0.0,0.0
1,0,77,1.751300,0.067800,1.465300,0.032300,0.185900,0,0.0,0.0,0,0.0,0.0
1,0,78,1.437300,0.065500,1.019400,0.018300,0.334100,0,0.0,0.0,0,0.0,0.0
1,0,79,3.665000,0.205300,3.009500,0.018100,0.432100,0,0.0,0.0,0,0.0,0.0
1,0,80,3.133600,0.612500,2.157800,0.020400,0.342900,0,0.0,0.0,0,0.0,0.0
1,0,81,2.814500,0.061600,2.452900,0.021100,0.278900,0,0.0,0.0,0,0.0,0.0
1,0,82,2.233400,0.064600,1.935300,0.019600,0.213900,0,0.0,0.0,0,0.0,0.0
1,0,83,2.501600,0.069200,2.190500,0.019700,0.222200,0,0.0,0.0,0,0.0,0.0
1,0,84,1.746700,0.072600,1.448500,0.018800,0.206800,0,0.0,0.0,0,0.0,0.0
1,0,85,1.323400,0.065300,1.070000,0.015700,0.172400,0,0.0,0.0,0,0.0,0.0
1,0,86,7.350400,0.116000,6.965800,0.021000,0.247600,0,0.0,0.0,0,0.0,0.0
1,0,87,1.791300,0.074500,1.496300,0.020000,0.200500,0,0.0,0.0,0,0.0,0.0
1,0,88,2.421800,0.097700,1.994700,0.021500,0.307900,0,0.0,0.0,0,0.0,0.0
1,0,89,4.553900,0.100800,4.142100,0.020100,0.290900,0,0.0,0.0,0,0.0,0.0
1,0,90,3.435000,0.735500,2.348100,0.030900,0.320500,0,0.0,0.0,0,0.0,0.0
1,0,91,1.493000,0.064500,1.182700,0.019000,0.226800,0,0.0,0.0,0,0.0,0.0
1,0,92,4.228300,0.446900,3.465900,0.020300,0.295200,0,0.0,0.0,0,0.0,0.0
1,0,93,3.172200,0.080500,2.640700,0.041100,0.409900,0,0.0,0.0,0,0.0,0.0
1,0,94,7.877100,0.108900,2.704000,0.027100,5.037100,0,0.0,0.0,0,0.0,0.0
1,0,95,4.710800,0.389200,4.014100,0.026000,0.281500,0,0.0,0.0,0,0.0,0.0
1,0,96,1.745100,0.071700,1.425000,0.021500,0.226900,0,0.0,0.0,0,0.0,0.0
1,0,97,1.679000,0.378000,1.089300,0.018200,0.193500,0,0.0,0.0,0,0.0,0.0
1,0,98,1.475200,0.080600,1.197000,0.016300,0.181300,0,0.0,0.0,0,0.0,0.0
1,0,99,4.790300,0.075300,4.495200,0.018500,0.201300,0,0.0,0.0,0,0.0,0.0
1,0,100,1.528900,0.073100,1.120500,0.019400,0.315900,0,0.0,0.0,0,0.0,0.0
2,1,1,7.870400,0.310600,1.575100,0.032300,5.952400,14435362,0.0,0.0,3126184,0.0,0.0
2,1,2,1.807200,0.107800,1.365300,0.039000,0.295100,3767981,0.0,15.625,2848255,0.0,0.0
2,1,3,5.068600,0.142900,4.556000,0.033800,0.335900,8081336,0.0,0.0,7001895,0.0,0.0
2,1,4,3.932500,0.112500,3.499500,0.035200,0.285300,5379383,0.0,0.0,4466785,0.0,0.0
2,1,5,8.698100,0.113600,8.253500,0.033300,0.297700,8461343,0.0,0.0,7521915,0.0,0.0
2,1,6,2.648600,0.096700,2.188100,0.034100,0.329700,3753935,0.0,0.0,2777409,0.0,0.0
2,1,7,3.751600,0.094700,3.285300,0.045800,0.325800,7716005,0.0,0.0,6724388,0.0,0.0
2,1,8,5.588300,1.669900,3.628300,0.036100,0.254000,5281922,0.0,0.0,4028513,0.0,0.0
2,1,9,1.625200,0.102300,1.246400,0.030000,0.246500,3392585,0.0,0.0,2604070,0.0,0.0
2,1,10,4.425100,0.379800,3.659500,0.035000,0.350800,6811166,0.0,0.0,5573267,0.0,0.0
2,1,11,8.605400,0.103800,7.789500,0.102200,0.609900,12451920,0.0,15.625,10767154,0.0,0.0
2,1,12,4.313300,0.133700,3.925900,0.027800,0.225900,6580600,0.0,0.0,5810531,0.0,0.0
2,1,13,2.696900,0.091000,2.340300,0.034300,0.231300,5510803,0.0,0.0,4742829,0.0,0.0
2,1,14,2.573000,0.080200,2.248200,0.042700,0.201900,4041298,0.0,0.0,3346892,0.0,0.0
2,1,15,1.729200,0.088300,1.378100,0.028900,0.233900,3607425,0.0,0.0,2862507,0.0,0.0
2,1,16,3.040700,0.095000,2.565700,0.051500,0.328500,6204789,0.0,0.0,5216105,0.0,0.0
2,1,17,3.403900,0.399100,2.742300,0.029300,0.233200,4680995,0.0,0.0,3762947,0.0,0.0
2,1,18,1.379700,0.093800,1.058100,0.026000,0.201800,2882211,0.0,0.0,2212538,0.0,0.0
2,1,19,1.733000,0.082100,1.415300,0.030500,0.205100,3552301,0.0,0.0,2871939,0.0,0.0
2,1,20,2.359400,0.231100,1.868300,0.030600,0.229400,4109626,0.0,0.0,3245445,0.0,0.0
2,1,21,3.523600,0.100800,3.121100,0.029700,0.272000,5687705,0.0,0.0,4834423,0.0,0.0
2,1,22,1.913000,0.096800,1.454100,0.042500,0.319600,3934403,0.0,0.0,3040877,0.0,0.0
2,1,23,2.464100,0.415800,1.734700,0.034100,0.279500,4578082,0.0,0.0,3452111,0.0,0.0
2,1,24,2.656200,0.169900,1.967900,0.034200,0.484200,5046120,15.625,0.0,3872988,0.0,0.0
2,1,25,4.911700,2.689100,1.389000,0.066500,0.767100,7119486,0.0,0.0,2813880,0.0,0.0
2,1,26,2.085800,0.106300,1.652900,0.038400,0.288200,4348991,0.0,0.0,3427170,0.0,0.0
2,1,27,2.864000,0.114700,2.320500,0.044800,0.384000,5079866,0.0,0.0,4058066,0.0,0.0
2,1,28,1.822600,0.088000,1.442300,0.037300,0.255000,3536372,0.0,0.0,2722285,0.0,0.0
2,1,29,13.532800,3.388400,9.824900,0.035400,0.284100,7675764,0.0,0.0,6631956,0.0,0.0
2,1,30,2.117100,0.379800,1.407100,0.060700,0.269500,3999588,0.0,0.0,2945928,0.0,0.0
2,1,31,1.921300,0.120900,1.524700,0.035300,0.240400,4013420,0.0,0.0,3184662,0.0,0.0
2,1,32,2.039200,0.113200,1.613700,0.033300,0.279000,4256559,0.0,0.0,3372884,0.0,0.0
2,1,33,2.780500,0.095200,2.403900,0.033700,0.247700,4831071,0.0,0.0,4028304,0.0,0.0
2,1,34,2.459900,0.114800,1.645400,0.031200,0.668500,4665906,0.0,0.0,3414384,0.0,0.0
2,1,35,1.651500,0.164000,1.237000,0.031900,0.218600,3425073,0.0,15.625,2579129,0.0,0.0
2,1,36,4.585200,0.141100,3.910300,0.035300,0.498500,7527783,0.0,0.0,6333901,0.0,0.0
2,1,37,3.718900,0.096900,3.297100,0.038900,0.286000,5362614,0.0,0.0,4464060,0.0,0.0
2,1,38,2.057400,0.446500,1.219900,0.032400,0.358600,3745971,0.0,0.0,2477681,0.0,0.0
2,1,39,5.186700,0.123800,2.996100,0.038300,2.028500,8104184,0.0,0.0,4647042,0.0,0.0
2,1,40,1.724000,0.084200,1.363600,0.039500,0.236700,3596945,15.625,0.0,2823940,0.0,0.0
2,1,41,1.803300,0.106400,1.386800,0.039000,0.271100,3785167,0.0,0.0,2894367,0.0,0.0
2,1,42,6.303100,1.134800,4.808700,0.040000,0.319600,8882427,0.0,0.0,7318812,0.0,0.0
2,1,43,2.775300,0.102800,2.350600,0.051300,0.270600,4326144,0.0,0.0,3422139,0.0,0.0
2,1,44,3.090100,0.346800,1.900700,0.033900,0.808700,4346684,0.0,0.0,2974644,0.0,0.0
2,1,45,1.960700,0.102400,1.540000,0.049200,0.269100,4054712,0.0,0.0,3158253,0.0,0.0
2,1,46,3.800400,0.789600,2.699500,0.032900,0.278400,6861045,0.0,0.0,5493823,0.0,0.0
2,1,47,3.106100,0.088800,2.021800,0.033100,0.962400,4863978,0.0,0.0,3733394,0.0,0.0
2,1,48,3.221100,0.158500,2.688500,0.035500,0.338600,6476641,0.0,0.0,5388397,0.0,0.0
2,1,49,1.521400,0.083300,1.212700,0.028100,0.197300,3193466,0.0,0.0,2534693,0.0,0.0
2,1,50,2.766800,0.109900,2.198400,0.037300,0.421200,4862091,0.0,0.0,3811575,0.0,0.0
2,1,51,1.911200,0.101400,1.544400,0.031000,0.234400,3886403,0.0,0.0,3098098,0.0,0.0
2,1,52,2.999400,0.080300,2.409400,0.075800,0.433900,4446667,0.0,0.0,3529456,0.0,0.0
2,1,53,1.604700,0.074900,1.285900,0.032400,0.211500,3288624,0.0,0.0,2617485,0.0,0.0
2,1,54,1.783500,0.087300,1.451000,0.031200,0.214000,3651020,0.0,0.0,2942154,0.0,0.0
2,1,55,2.856900,0.114500,2.436500,0.035900,0.270000,4857691,0.0,0.0,3981981,0.0,0.0
2,1,56,3.464300,0.115700,1.924000,0.035700,1.388900,7033759,0.0,0.0,3818494,0.0,0.0
2,1,57,1.633700,0.108700,1.306300,0.032500,0.186200,3420673,0.0,0.0,2712015,0.0,0.0
2,1,58,2.932500,0.093800,2.519000,0.032500,0.287200,5805710,0.0,0.0,4943625,0.0,0.0
2,1,59,1.844800,0.085500,1.490700,0.029900,0.238700,3851611,0.0,0.0,3098308,0.0,0.0
2,1,60,6.502200,0.101900,6.051500,0.044200,0.304600,8068762,0.0,0.0,7109842,0.0,0.0
2,1,61,2.215800,0.097000,1.793800,0.030300,0.294700,4138344,0.0,0.0,3261168,0.0,0.0
2,1,62,3.140300,0.090800,2.689700,0.037600,0.322200,4434297,15.625,0.0,3495080,15.625,0.0
2,1,63,5.383600,0.330100,4.734800,0.031900,0.286800,8047385,0.0,0.0,7033759,0.0,0.0
2,1,64,2.077400,0.098600,1.667900,0.034100,0.276800,4282545,0.0,0.0,3453998,0.0,0.0
2,1,65,2.224900,0.131200,1.858000,0.030400,0.205300,3922036,15.625,0.0,3138550,0.0,0.0
2,1,66,2.217100,0.097900,1.759100,0.032300,0.327800,4369319,0.0,0.0,3482293,0.0,0.0
2,1,67,2.523600,0.158500,1.992800,0.030100,0.342200,4905689,0.0,0.0,3852029,0.0,0.0
2,1,68,3.978700,0.411900,3.155900,0.032100,0.378800,5223443,15.625,0.0,4077978,0.0,0.0
2,1,69,1.588200,0.116700,1.201900,0.032500,0.237100,3314614,0.0,0.0,2494658,0.0,0.0
2,1,70,3.749200,0.132700,2.855400,0.050000,0.711100,5644110,15.625,0.0,4366178,15.625,0.0
2,1,71,2.177300,0.099100,1.829700,0.030000,0.218500,4378125,0.0,0.0,3636771,0.0,0.0
2,1,72,8.579100,0.321800,7.697400,0.032800,0.527100,8532190,0.0,0.0,7199552,0.0,0.0
2,1,73,2.297000,0.102600,1.941700,0.030700,0.222000,4364708,0.0,0.0,3603442,0.0,0.0
2,1,74,1.995100,0.099100,1.535600,0.036600,0.323800,4155110,0.0,0.0,3183195,0.0,0.0
2,1,75,2.018100,0.137500,1.508000,0.034900,0.337700,3756450,0.0,0.0,2784536,0.0,0.0
2,1,76,2.870600,0.096600,2.486300,0.037700,0.250000,4814093,0.0,0.0,3996025,0.0,0.0
2,1,77,2.966000,0.167200,2.309000,0.038600,0.451200,4945511,0.0,0.0,3881163,0.0,0.0
2,1,78,2.093200,0.090000,1.732300,0.049500,0.221400,4308119,0.0,0.0,3536581,0.0,0.0
2,1,79,1.799100,0.098000,1.403000,0.034700,0.263400,3752050,0.0,0.0,2931046,0.0,0.0
2,1,80,5.145500,0.098300,4.694900,0.033800,0.318500,7448973,0.0,0.0,6489215,0.0,0.0
2,1,81,3.913100,0.280000,3.357300,0.032000,0.243800,5501788,15.625,0.0,4505140,0.0,0.0
2,1,82,2.517100,0.092300,1.811200,0.036600,0.577000,4649348,15.625,0.0,3696296,0.0,0.0
2,1,83,2.466100,0.408600,1.721800,0.044500,0.291200,4221135,0.0,0.0,3114236,0.0,0.0
2,1,84,2.533300,0.342200,1.895800,0.037500,0.257800,4635513,0.0,0.0,3584998,0.0,0.0
2,1,85,1.575700,0.091400,1.237800,0.033700,0.212800,3272276,0.0,0.0,2546221,0.0,0.0
