run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
1,79,0.4916,0.0277,0.021,0.0062,0.353,0.0334,0.0063,0.0057,0.0119,0.0141,0.0123
1,80,0.4326,0.0255,0.0189,0.0063,0.2987,0.0334,0.0062,0.0055,0.012,0.0139,0.0122
1,81,0.4527,0.0252,0.0186,0.0062,0.3194,0.0317,0.0064,0.0054,0.0114,0.0158,0.0126
1,82,0.6714,0.0243,0.018,0.0065,0.5097,0.0493,0.0076,0.0081,0.0137,0.0183,0.0159
1,83,0.7388,0.0514,0.0339,0.0102,0.5108,0.0565,0.0093,0.0089,0.0158,0.0237,0.0183
1,84,0.8525,0.0402,0.0309,0.0081,0.6353,0.0631,0.0082,0.0078,0.0162,0.0237,0.019
1,85,0.7022,0.0389,0.0287,0.008,0.5033,0.0538,0.0087,0.0084,0.0139,0.0216,0.0169
1,86,0.6584,0.0388,0.0279,0.0103,0.4477,0.0547,0.0095,0.0092,0.0179,0.0239,0.0185
1,87,0.6694,0.0393,0.0294,0.009,0.4607,0.0556,0.0097,0.0086,0.0156,0.0224,0.0191
1,88,0.6583,0.0403,0.0286,0.0081,0.4564,0.0535,0.0085,0.0082,0.015,0.0226,0.0171
1,89,0.867,0.0391,0.028,0.0098,0.588,0.0674,0.0108,0.0092,0.0692,0.0281,0.0174
1,90,0.6424,0.0365,0.0274,0.0069,0.4539,0.0493,0.0082,0.0075,0.0152,0.0219,0.0156
1,91,0.581,0.0326,0.0277,0.0085,0.4056,0.0471,0.0079,0.0072,0.0124,0.0178,0.0142
1,92,0.5298,0.0281,0.0219,0.0065,0.3534,0.0592,0.0064,0.0072,0.0138,0.017,0.0163
1,93,0.5514,0.0292,0.0222,0.0074,0.3876,0.0463,0.0073,0.0078,0.0123,0.0178,0.0135
1,94,0.5314,0.0309,0.0236,0.0061,0.3718,0.0416,0.0072,0.007,0.0121,0.0178,0.0133
1,95,0.9425,0.0292,0.0225,0.0078,0.601,0.1105,0.0867,0.0158,0.0206,0.0285,0.0199
1,96,0.7321,0.0433,0.0327,0.0087,0.5205,0.0522,0.0086,0.0085,0.0149,0.0242,0.0185
1,97,0.7715,0.0384,0.0288,0.009,0.5614,0.0553,0.0109,0.0093,0.0156,0.0233,0.0195
1,98,0.7126,0.0408,0.0322,0.0087,0.4848,0.0506,0.0089,0.0083,0.0355,0.0225,0.0203
1,99,0.6261,0.0393,0.0297,0.0094,0.4385,0.0449,0.0076,0.007,0.0131,0.0201,0.0165
